"kigo","yomigana","kyukana","bodai"
"初春","はつはる","","[""新春"",""明の春"",""今朝の春"",""千代の春""]"
"初場所","はつばしょ","","[""一月場所"",""正月場所""]"
"初晴","はつばれ","","[""""]"
"初日","はつひ","","[""初陽"",""初旭"",""初日の出"",""初日影""]"
"初比叡","はつひえい","","[""""]"
"初富士","はつふじ","","[""""]"
"初不動","はつふどう","","[""""]"
"初弁天","はつべんてん","","[""初巳""]"
"初弥撒","はつみさ","","[""初ミサ""]"
"初詣","はつもうで","はつまうで","[""初参"",""初社"",""初御籤""]"
"初薬師","はつやくし","","[""""]"
"初湯","はつゆ","","[""初風呂"",""湯殿始""]"
"初夢","はつゆめ","","[""貘枕"",""初寝覚""]"
"初漁","はつりょう","はつれふ","[""漁始"",""初網""]"
"花びら餅","はなびらもち","","[""菱葩餅、菱はなびら""]"
"羽子つき","はねつき","","[""羽子"",""追羽子"",""揚羽子"",""遣羽子""]"
"破魔弓","はまゆみ","","[""破魔矢""]"
"春着","はるぎ","","[""正月小袖"",""春襲""]"
"春駒","はるこま","","[""春駒舞"",""春駒万歳""]"
"弾初","ひきぞめ","","[""初弾"",""琴始""]"
"ひめ始","ひめはじめ","","[""姫始"",""密事始（ひめはじめ）""]"
"吹初","ふきぞめ","","[""籟初"",""吹始""]"
"福寿草","ふくじゅそう","ふくじゅさう","[""元日草""]"
"福達磨","ふくだるま","","[""達磨市""]"
"福引","ふくびき","","[""宝引""]"
"福袋","ふくぶくろ","","[""""]"
"福沸","ふくわかし","","[""福鍋""]"
"福藁","ふくわら","","[""福藁敷く"",""ふくさ藁""]"
"福笑ひ","ふくわらい","ふくわらひ","[""""]"
"二日","ふつか","","[""""]"
"太箸","ふとばし","","[""祝箸"",""柳箸"",""箸紙"",""雑煮箸""]"
"蓬莱","ほうらい","","[""掛蓬莱"",""蓬莱飾""]"
"宝恵篭","ほえかご","ほゑかご","[""宝恵駕"",""戎篭""]"
"仏の座","ほとけのざ","","[""田平子""]"
"穂俵飾る","ほんだはらかざる","","[""""]"
"ぼんでん","ぼんでん","","[""梵天""]"
"ぽっぺん","ぽっぺん","","[""ぽこんぽこん""]"
"舞初","まいぞめ","まひぞめ","[""仕舞始""]"
"松納","まつおさめ","まつをさめ","[""松取る"",""門松取る""]"
"松過ぎ","まつすぎ","","[""松明け"",""注連明""]"
"松の内","まつのうち","","[""松七日"",""注連の内""]"
"俎始","まないたはじめ","","[""包丁始""]"
"鞠始","まりはじめ","","[""蹴鞠始""]"
"万歳","まんざい","","[""三河万歳"",""大和万歳""]"
"三日","みっか","","[""""]"
"睦月","むつき","","[""むつみ月"",""むつび月""]"
"土竜打","もぐらうち","","[""土竜追"",""海鼠曳""]"
"餅花","もちばな","","[""繭玉"",""稲穂"",""団子花""]"
"薮入","やぶいり","","[""里下り"",""宿下り""]"
"山始","やまはじめ","","[""初山"",""初山入り"",""山入り"",""斧始"",""手斧始"",""若山踏み"",""木伐り初""]"
"楪","ゆづりは","","[""弓弦葉"",""親子草""]"
"弓始","ゆみはじめ","","[""初弓"",""的始"",""弓矢始"",""射初""]"
"四日","よっか","","[""""]"
"読初","よみぞめ","","[""読書始""]"
"嫁が君","よめがきみ","","[""""]"
"礼受","れいうけ","","[""礼者受"",""名刺受""]"
"礼者","れいじゃ","","[""門礼"",""門礼者"",""賀客"",""年賀客"",""女礼者""]"
"若菜","わかな","","[""若菜摘"",""粥草"",""七草粥""]"
"若菜野","わかなの","","[""""]"
"若水","わかみず","わかみづ","[""初水"",""福水"",""若井"",""井華水"",""若潮"",""若潮迎へ""]"
"笑初","わらいぞめ","わらひぞめ","[""初笑""]"
"藁盒子","わらごうし","わらがふし","[""幸篭"",""ヤス""]"
