"kigo","yomigana","kyukana","bodai"
"桜鯛","さくらだい","さくらだひ","[""花見鯛"",""乗込鯛"",""鯛網""]"
"桜漬","さくらづけ","","[""花漬"",""桜湯""]"
"桜餅","さくらもち","","[""""]"
"栄螺","さざえ","","[""つぶ"",""挙螺""]"
"挿木","さしき","","[""挿葉"",""挿芽"",""挿穂"",""挿床""]"
"実朝忌","さねともき","","[""""]"
"さより","さより","","[""竹魚"",""針魚""]"
"鰆","さわら","さはら","[""""]"
"三月","さんがつ","さんぐわつ","[""""]"
"三月十日","さんがつとおか","","[""""]"
"三月菜","さんがつな","さんぐわつな","[""""]"
"三鬼忌","さんきき","","[""西東忌""]"
"山帰来の花","さんきらいのはな","","[""さるとりいばらの花""]"
"山楂子の花","さんざしのはな","","[""""]"
"山茱萸の花","さんしゅうのはな","さんしゆゆのはな","[""春黄金花"",""さんしゅう"",""さんしゅうの花""]"
"山椒の芽","さんしょうのめ","さんせうのめ","[""芽山椒"",""きのめ""]"
"座禅草","ざぜんそう","","[""達磨草""]"
"残花","ざんか","ざんくわ","[""残る花"",""名残の花""]"
"残雪","ざんせつ","","[""雪残る"",""残る雪"",""日影雪""]"
"汐干狩","しおひがり","しほひがり","[""汐干"",""汐干潟"",""汐干貝"",""汐干籠"",""汐干船""]"
"望潮","しおまねき","しほまねき","[""潮招""]"
"四月","しがつ","しぐわつ","[""""]"
"四月馬鹿","しがつばか","しぐわつばか","[""エイプリルフール"",""万愚節""]"
"樒の花","しきみのはな","","[""花樒"",""かうしばの花"",""樒売""]"
"シクラメン","しくらめん","","[""篝火花""]"
"蜆","しじみ","","[""蜆貝"",""真蜆"",""紫蜆"",""蜆取"",""蜆舟"",""蜆掻"",""蜆売""]"
"蜆汁","しじみじる","","[""""]"
"下萌","したもえ","","[""草萌"",""草青む"",""畦青む"",""土手青む"",""若返る草"",""駒返る草""]"
"枝垂桜","しだれざくら","","[""糸桜""]"
"しどみの花","しどみのはな","","[""草木瓜""]"
"芝桜","しばざくら","","[""""]"
"芝桜","しばざくら","","[""花詰草""]"
"芝焼く","しばやく","","[""芝焼"",""芝火""]"
"霜くすべ","しもくすべ","","[""""]"
